AdminStrata,Adamawa,Central,East,Far-North,Littoral,North,North-West,South,South-West,West
2021-02-09,1.0,3.0,0.0,96.0,1.0,1.0,59.0,0.0,30.0,1.0
2021-02-10,1.0,3.0,0.0,96.0,1.0,1.0,57.0,0.0,30.0,1.0
2021-02-11,1.0,3.0,0.0,96.0,1.0,1.0,58.0,0.0,30.0,0.0
2021-02-12,1.0,3.0,0.0,96.0,1.0,1.0,57.0,0.0,28.0,0.0
2021-02-13,1.0,2.0,0.0,96.0,1.0,1.0,58.0,0.0,32.0,0.0
2021-02-14,1.0,2.0,0.0,100.0,1.0,1.0,61.0,0.0,33.0,0.0
2021-02-15,1.0,2.0,0.0,100.0,1.0,1.0,61.0,0.0,30.0,0.0
2021-02-16,1.0,2.0,0.0,92.0,1.0,1.0,62.0,0.0,31.0,0.0
2021-02-17,1.0,2.0,0.0,86.0,2.0,1.0,61.0,0.0,29.0,0.0
2021-02-18,1.0,2.0,0.0,86.0,2.0,1.0,64.0,0.0,30.0,0.0
2021-02-19,1.0,2.0,0.0,85.0,2.0,1.0,63.0,0.0,30.0,0.0
2021-02-20,1.0,2.0,0.0,85.0,2.0,1.0,62.0,0.0,26.0,0.0
2021-02-21,1.0,2.0,0.0,86.0,2.0,1.0,62.0,0.0,27.0,0.0
2021-02-22,1.0,2.0,0.0,89.0,2.0,1.0,57.0,0.0,27.0,0.0
2021-02-23,1.0,2.0,0.0,84.0,2.0,1.0,59.0,0.0,27.0,0.0
2021-02-24,1.0,1.0,0.0,84.0,2.0,1.0,63.0,0.0,27.0,0.0
2021-02-25,1.0,1.0,0.0,85.0,2.0,1.0,82.0,0.0,25.0,0.0
2021-02-26,1.0,1.0,0.0,87.0,2.0,1.0,81.0,0.0,25.0,0.0
2021-02-27,1.0,1.0,0.0,87.0,2.0,1.0,81.0,0.0,25.0,0.0
2021-02-28,1.0,1.0,0.0,90.0,2.0,1.0,76.0,0.0,25.0,0.0
2021-03-01,1.0,1.0,0.0,89.0,2.0,1.0,76.0,0.0,25.0,0.0
2021-03-02,1.0,1.0,0.0,89.0,2.0,1.0,75.0,0.0,26.0,0.0
2021-03-03,1.0,1.0,0.0,89.0,2.0,1.0,76.0,0.0,26.0,0.0
2021-03-04,1.0,1.0,0.0,90.0,2.0,1.0,100.0,0.0,38.0,0.0
2021-03-05,1.0,1.0,0.0,90.0,2.0,1.0,103.0,0.0,38.0,0.0
2021-03-06,1.0,1.0,0.0,90.0,2.0,1.0,103.0,0.0,37.0,0.0
2021-03-07,1.0,1.0,0.0,90.0,2.0,1.0,103.0,0.0,37.0,0.0
2021-03-08,1.0,1.0,0.0,90.0,2.0,1.0,102.0,0.0,33.0,0.0
2021-03-09,1.0,1.0,0.0,90.0,2.0,1.0,94.0,0.0,38.0,0.0
2021-03-10,1.0,1.0,0.0,91.0,2.0,1.0,93.0,0.0,33.0,0.0
2021-03-11,1.0,1.0,0.0,94.0,2.0,1.0,88.0,0.0,28.0,0.0
2021-03-12,1.0,1.0,0.0,94.0,2.0,1.0,88.0,0.0,28.0,0.0
2021-03-13,1.0,1.0,0.0,91.0,2.0,1.0,87.0,0.0,28.0,0.0
2021-03-14,1.0,1.0,0.0,91.0,2.0,1.0,87.0,0.0,28.0,0.0
2021-03-15,1.0,1.0,0.0,90.0,2.0,1.0,87.0,0.0,24.0,0.0
2021-03-16,1.0,1.0,0.0,90.0,2.0,1.0,84.0,0.0,21.0,0.0
2021-03-17,1.0,1.0,0.0,89.0,2.0,1.0,82.0,0.0,22.0,0.0
2021-03-18,1.0,1.0,0.0,91.0,2.0,1.0,81.0,0.0,27.0,0.0
2021-03-19,1.0,1.0,0.0,91.0,2.0,1.0,81.0,0.0,27.0,0.0
2021-03-20,1.0,1.0,0.0,96.0,2.0,1.0,79.0,0.0,26.0,0.0
2021-03-21,1.0,1.0,0.0,96.0,2.0,1.0,79.0,0.0,29.0,0.0
2021-03-22,1.0,1.0,0.0,96.0,2.0,1.0,79.0,0.0,32.0,0.0
2021-03-23,1.0,1.0,0.0,96.0,2.0,1.0,79.0,0.0,32.0,0.0
2021-03-24,1.0,1.0,0.0,96.0,2.0,1.0,74.0,0.0,33.0,0.0
2021-03-25,1.0,1.0,0.0,99.0,2.0,1.0,68.0,0.0,34.0,0.0
2021-03-26,1.0,1.0,0.0,99.0,2.0,1.0,68.0,0.0,39.0,0.0
2021-03-27,1.0,1.0,0.0,112.0,2.0,1.0,49.0,0.0,59.0,0.0
2021-03-28,1.0,1.0,0.0,112.0,2.0,1.0,49.0,0.0,63.0,0.0
2021-03-29,1.0,1.0,0.0,111.0,2.0,1.0,49.0,0.0,63.0,1.0
2021-03-30,1.0,0.0,0.0,111.0,2.0,1.0,47.0,0.0,63.0,1.0
2021-03-31,1.0,0.0,0.0,113.0,2.0,1.0,47.0,0.0,63.0,1.0
2021-04-01,1.0,0.0,0.0,112.0,2.0,1.0,46.0,0.0,62.0,1.0
2021-04-02,1.0,0.0,0.0,112.0,2.0,1.0,45.0,0.0,63.0,1.0
2021-04-03,1.0,0.0,0.0,115.0,2.0,1.0,20.0,0.0,51.0,1.0
2021-04-04,1.0,0.0,0.0,114.0,2.0,1.0,21.0,0.0,51.0,1.0
2021-04-05,1.0,0.0,0.0,118.0,2.0,1.0,21.0,0.0,51.0,1.0
2021-04-06,1.0,0.0,0.0,120.0,2.0,0.0,21.0,0.0,51.0,1.0
2021-04-07,1.0,0.0,0.0,120.0,2.0,0.0,17.0,0.0,51.0,1.0
2021-04-08,1.0,0.0,0.0,103.0,2.0,0.0,16.0,0.0,46.0,1.0
2021-04-09,1.0,0.0,0.0,103.0,2.0,0.0,14.0,0.0,46.0,1.0
2021-04-10,1.0,0.0,0.0,103.0,2.0,0.0,14.0,0.0,46.0,1.0
2021-04-11,1.0,0.0,0.0,104.0,2.0,0.0,14.0,0.0,46.0,1.0
2021-04-12,1.0,0.0,0.0,105.0,2.0,0.0,14.0,0.0,46.0,1.0
2021-04-13,1.0,0.0,0.0,108.0,2.0,0.0,14.0,0.0,46.0,1.0
2021-04-14,1.0,0.0,0.0,107.0,2.0,0.0,13.0,0.0,46.0,1.0
2021-04-15,1.0,0.0,0.0,107.0,2.0,0.0,13.0,0.0,46.0,1.0
2021-04-16,1.0,0.0,0.0,113.0,2.0,0.0,12.0,0.0,45.0,1.0
2021-04-17,1.0,0.0,0.0,113.0,2.0,0.0,15.0,0.0,44.0,1.0
2021-04-18,1.0,0.0,0.0,111.0,2.0,0.0,20.0,0.0,48.0,1.0
2021-04-19,1.0,0.0,0.0,110.0,2.0,0.0,20.0,0.0,48.0,1.0
2021-04-20,1.0,0.0,0.0,110.0,2.0,0.0,20.0,0.0,46.0,1.0
2021-04-21,1.0,0.0,0.0,110.0,2.0,0.0,20.0,0.0,43.0,1.0
2021-04-22,1.0,0.0,0.0,112.0,2.0,0.0,20.0,0.0,42.0,1.0
2021-04-23,1.0,0.0,0.0,112.0,2.0,0.0,20.0,0.0,41.0,1.0
2021-04-24,0.0,0.0,0.0,109.0,2.0,0.0,20.0,0.0,43.0,1.0
2021-04-25,0.0,0.0,0.0,109.0,2.0,0.0,16.0,0.0,38.0,1.0
2021-04-26,0.0,0.0,0.0,109.0,2.0,0.0,18.0,0.0,18.0,1.0
2021-04-27,0.0,0.0,0.0,110.0,2.0,0.0,18.0,0.0,14.0,1.0
2021-04-28,0.0,0.0,0.0,110.0,2.0,0.0,18.0,0.0,14.0,1.0
2021-04-29,0.0,0.0,0.0,110.0,2.0,0.0,18.0,0.0,14.0,5.0
2021-04-30,0.0,1.0,0.0,110.0,2.0,0.0,22.0,0.0,14.0,5.0
2021-05-01,0.0,1.0,0.0,110.0,2.0,0.0,22.0,0.0,16.0,5.0
2021-05-02,0.0,1.0,0.0,104.0,1.0,0.0,22.0,0.0,15.0,5.0
2021-05-03,0.0,1.0,0.0,104.0,1.0,0.0,26.0,0.0,15.0,7.0
2021-05-04,0.0,1.0,0.0,107.0,1.0,0.0,22.0,0.0,21.0,7.0
2021-05-05,0.0,1.0,0.0,107.0,1.0,0.0,22.0,0.0,21.0,7.0
2021-05-06,0.0,1.0,0.0,107.0,1.0,0.0,22.0,0.0,21.0,7.0
2021-05-07,0.0,1.0,0.0,107.0,1.0,0.0,22.0,0.0,21.0,7.0
2021-05-08,0.0,1.0,0.0,107.0,1.0,0.0,22.0,0.0,23.0,7.0
2021-05-09,0.0,1.0,0.0,109.0,1.0,0.0,25.0,0.0,23.0,7.0
2021-05-10,0.0,1.0,0.0,106.0,2.0,0.0,25.0,0.0,23.0,7.0
2021-05-11,0.0,1.0,0.0,104.0,2.0,0.0,25.0,0.0,24.0,7.0
2021-05-12,0.0,1.0,0.0,104.0,2.0,0.0,25.0,0.0,24.0,7.0
2021-05-13,0.0,1.0,0.0,103.0,2.0,0.0,25.0,0.0,25.0,7.0
2021-05-14,0.0,1.0,0.0,103.0,2.0,0.0,25.0,0.0,25.0,7.0
2021-05-15,0.0,1.0,0.0,101.0,2.0,0.0,27.0,0.0,33.0,7.0
2021-05-16,0.0,1.0,0.0,105.0,2.0,0.0,30.0,0.0,37.0,7.0
2021-05-17,0.0,1.0,0.0,107.0,2.0,0.0,29.0,0.0,32.0,7.0
2021-05-18,0.0,1.0,0.0,111.0,1.0,0.0,24.0,0.0,31.0,7.0
2021-05-19,0.0,2.0,0.0,111.0,1.0,0.0,23.0,0.0,31.0,7.0
2021-05-20,0.0,2.0,0.0,111.0,1.0,0.0,23.0,0.0,30.0,7.0
2021-05-21,0.0,2.0,0.0,111.0,1.0,0.0,25.0,0.0,30.0,7.0
2021-05-22,0.0,2.0,0.0,110.0,1.0,0.0,26.0,0.0,30.0,7.0
2021-05-23,0.0,2.0,0.0,107.0,1.0,0.0,29.0,0.0,30.0,7.0
2021-05-24,0.0,2.0,0.0,107.0,1.0,0.0,34.0,0.0,27.0,7.0
2021-05-25,0.0,2.0,0.0,109.0,1.0,0.0,42.0,0.0,29.0,7.0
2021-05-26,0.0,2.0,0.0,108.0,1.0,0.0,41.0,0.0,32.0,7.0
2021-05-27,0.0,2.0,0.0,106.0,1.0,0.0,44.0,0.0,32.0,7.0
2021-05-28,0.0,2.0,0.0,105.0,1.0,3.0,44.0,0.0,32.0,7.0
2021-05-29,0.0,2.0,0.0,121.0,1.0,3.0,44.0,0.0,32.0,7.0
2021-05-30,0.0,2.0,0.0,121.0,1.0,3.0,45.0,0.0,32.0,7.0
2021-05-31,0.0,2.0,0.0,119.0,2.0,3.0,49.0,0.0,30.0,9.0
2021-06-01,0.0,2.0,0.0,115.0,2.0,3.0,49.0,0.0,30.0,9.0
2021-06-02,0.0,2.0,0.0,114.0,2.0,3.0,51.0,0.0,30.0,9.0
2021-06-03,0.0,2.0,0.0,114.0,2.0,3.0,49.0,0.0,24.0,9.0
2021-06-04,0.0,2.0,0.0,114.0,2.0,3.0,49.0,0.0,24.0,9.0
2021-06-05,0.0,2.0,0.0,114.0,2.0,3.0,54.0,0.0,29.0,9.0
2021-06-06,0.0,2.0,0.0,115.0,2.0,3.0,54.0,0.0,29.0,9.0
2021-06-07,0.0,2.0,0.0,115.0,2.0,3.0,56.0,0.0,27.0,9.0
2021-06-08,0.0,2.0,0.0,114.0,2.0,3.0,64.0,0.0,27.0,9.0
2021-06-09,0.0,2.0,0.0,111.0,2.0,3.0,64.0,0.0,27.0,9.0
2021-06-10,0.0,2.0,0.0,111.0,2.0,3.0,65.0,0.0,26.0,9.0
2021-06-11,0.0,2.0,0.0,112.0,2.0,3.0,65.0,0.0,26.0,9.0
2021-06-12,0.0,2.0,0.0,112.0,2.0,3.0,65.0,0.0,25.0,9.0
2021-06-13,0.0,2.0,0.0,111.0,2.0,3.0,65.0,0.0,26.0,9.0
2021-06-14,0.0,2.0,0.0,111.0,2.0,3.0,63.0,0.0,22.0,9.0
2021-06-15,0.0,2.0,0.0,111.0,2.0,3.0,61.0,0.0,19.0,9.0
2021-06-16,0.0,2.0,0.0,109.0,2.0,3.0,59.0,0.0,19.0,9.0
2021-06-17,0.0,2.0,0.0,109.0,2.0,3.0,62.0,0.0,16.0,9.0
2021-06-18,0.0,2.0,0.0,104.0,2.0,3.0,62.0,0.0,19.0,9.0
2021-06-19,0.0,2.0,0.0,104.0,2.0,3.0,66.0,0.0,19.0,9.0
2021-06-20,0.0,2.0,0.0,104.0,2.0,3.0,64.0,0.0,19.0,9.0
2021-06-21,0.0,2.0,0.0,98.0,2.0,3.0,63.0,0.0,19.0,9.0
2021-06-22,0.0,2.0,0.0,97.0,2.0,3.0,61.0,0.0,19.0,9.0
2021-06-23,0.0,2.0,0.0,93.0,2.0,3.0,56.0,0.0,19.0,9.0
2021-06-24,0.0,2.0,0.0,93.0,2.0,3.0,48.0,0.0,17.0,9.0
2021-06-25,0.0,2.0,0.0,80.0,2.0,3.0,47.0,0.0,14.0,9.0
2021-06-26,0.0,2.0,0.0,81.0,2.0,3.0,44.0,0.0,14.0,9.0
2021-06-27,0.0,2.0,0.0,82.0,2.0,3.0,44.0,0.0,14.0,8.0
2021-06-28,0.0,2.0,0.0,83.0,2.0,3.0,44.0,0.0,14.0,8.0
2021-06-29,0.0,2.0,0.0,82.0,2.0,3.0,39.0,0.0,24.0,8.0
2021-06-30,0.0,2.0,0.0,80.0,2.0,3.0,35.0,0.0,24.0,8.0
2021-07-01,0.0,2.0,0.0,80.0,2.0,3.0,35.0,0.0,26.0,8.0
2021-07-02,0.0,2.0,0.0,76.0,2.0,3.0,28.0,0.0,30.0,8.0
2021-07-03,0.0,2.0,0.0,73.0,2.0,3.0,28.0,0.0,30.0,8.0
2021-07-04,0.0,2.0,0.0,70.0,2.0,3.0,29.0,0.0,30.0,8.0
2021-07-05,0.0,2.0,0.0,68.0,2.0,3.0,24.0,0.0,28.0,8.0
2021-07-06,0.0,2.0,0.0,68.0,2.0,3.0,27.0,0.0,32.0,8.0
2021-07-07,0.0,2.0,0.0,68.0,2.0,3.0,28.0,0.0,32.0,8.0
2021-07-08,0.0,2.0,0.0,68.0,2.0,3.0,19.0,0.0,32.0,8.0
2021-07-09,0.0,2.0,0.0,70.0,2.0,3.0,19.0,0.0,32.0,8.0
2021-07-10,0.0,2.0,0.0,69.0,2.0,3.0,18.0,0.0,32.0,8.0
2021-07-11,0.0,2.0,0.0,68.0,2.0,3.0,21.0,0.0,40.0,8.0
2021-07-12,0.0,2.0,0.0,67.0,2.0,3.0,21.0,0.0,42.0,8.0
2021-07-13,0.0,2.0,0.0,67.0,2.0,3.0,21.0,0.0,44.0,8.0
2021-07-14,0.0,2.0,0.0,68.0,2.0,3.0,21.0,0.0,40.0,10.0
2021-07-15,0.0,2.0,0.0,62.0,2.0,3.0,20.0,0.0,40.0,10.0
2021-07-16,0.0,2.0,0.0,62.0,2.0,3.0,23.0,0.0,40.0,10.0
2021-07-17,0.0,2.0,0.0,63.0,2.0,3.0,22.0,0.0,40.0,10.0
2021-07-18,0.0,2.0,0.0,63.0,2.0,3.0,30.0,0.0,38.0,14.0
2021-07-19,0.0,2.0,0.0,63.0,2.0,3.0,27.0,0.0,39.0,14.0
2021-07-20,0.0,2.0,0.0,63.0,2.0,3.0,32.0,0.0,39.0,14.0
2021-07-21,0.0,2.0,0.0,61.0,2.0,3.0,32.0,0.0,39.0,14.0
2021-07-22,0.0,2.0,0.0,61.0,3.0,3.0,32.0,0.0,39.0,14.0
2021-07-23,0.0,2.0,0.0,61.0,3.0,3.0,34.0,0.0,39.0,14.0
2021-07-24,0.0,2.0,0.0,89.0,3.0,3.0,34.0,0.0,39.0,14.0
2021-07-25,0.0,2.0,0.0,89.0,3.0,3.0,34.0,0.0,39.0,14.0
2021-07-26,0.0,2.0,0.0,111.0,3.0,3.0,34.0,0.0,39.0,14.0
2021-07-27,0.0,2.0,0.0,111.0,3.0,3.0,34.0,0.0,39.0,14.0
2021-07-28,0.0,2.0,0.0,111.0,3.0,3.0,34.0,0.0,39.0,10.0
2021-07-29,0.0,1.0,0.0,113.0,3.0,3.0,34.0,0.0,29.0,10.0
2021-07-30,0.0,1.0,0.0,113.0,3.0,3.0,34.0,0.0,29.0,10.0
2021-07-31,0.0,0.0,0.0,60.0,1.0,0.0,34.0,0.0,27.0,6.0
2021-08-01,0.0,0.0,0.0,60.0,1.0,0.0,38.0,0.0,24.0,6.0
2021-08-02,0.0,0.0,0.0,60.0,1.0,0.0,38.0,0.0,24.0,6.0
2021-08-03,0.0,0.0,0.0,65.0,1.0,0.0,39.0,0.0,27.0,6.0
2021-08-04,0.0,0.0,0.0,65.0,1.0,0.0,53.0,0.0,24.0,6.0
2021-08-05,0.0,0.0,0.0,65.0,1.0,0.0,57.0,0.0,20.0,6.0
2021-08-06,0.0,0.0,0.0,65.0,1.0,0.0,54.0,0.0,20.0,6.0
2021-08-07,0.0,0.0,0.0,65.0,1.0,0.0,54.0,0.0,20.0,6.0
2021-08-08,0.0,0.0,0.0,66.0,1.0,0.0,58.0,0.0,20.0,6.0
2021-08-09,0.0,0.0,0.0,80.0,1.0,0.0,58.0,0.0,20.0,6.0
2021-08-10,0.0,0.0,0.0,92.0,1.0,0.0,55.0,0.0,12.0,6.0
2021-08-11,0.0,0.0,0.0,90.0,1.0,0.0,56.0,0.0,10.0,6.0
2021-08-12,0.0,0.0,0.0,90.0,1.0,0.0,57.0,0.0,7.0,6.0
2021-08-13,0.0,0.0,0.0,89.0,1.0,0.0,57.0,0.0,7.0,4.0
2021-08-14,0.0,0.0,0.0,89.0,1.0,0.0,57.0,0.0,6.0,5.0
2021-08-15,0.0,0.0,0.0,101.0,1.0,0.0,54.0,0.0,6.0,5.0
2021-08-16,0.0,0.0,0.0,100.0,1.0,0.0,55.0,0.0,6.0,5.0
2021-08-17,0.0,0.0,0.0,100.0,1.0,0.0,48.0,0.0,7.0,1.0
2021-08-18,0.0,0.0,0.0,100.0,1.0,0.0,47.0,0.0,6.0,1.0
2021-08-19,0.0,0.0,0.0,100.0,1.0,0.0,53.0,0.0,6.0,1.0
2021-08-20,0.0,0.0,0.0,100.0,1.0,0.0,54.0,0.0,8.0,1.0
2021-08-21,0.0,0.0,0.0,102.0,0.0,0.0,53.0,0.0,11.0,1.0
2021-08-22,0.0,0.0,0.0,102.0,0.0,0.0,53.0,0.0,11.0,1.0
2021-08-23,0.0,0.0,0.0,77.0,0.0,0.0,54.0,0.0,11.0,1.0
2021-08-24,0.0,0.0,0.0,77.0,0.0,0.0,55.0,0.0,14.0,1.0
2021-08-25,0.0,0.0,0.0,54.0,0.0,0.0,55.0,0.0,14.0,1.0
2021-08-26,0.0,0.0,0.0,54.0,0.0,0.0,55.0,0.0,14.0,1.0
2021-08-27,0.0,0.0,0.0,54.0,0.0,0.0,56.0,0.0,14.0,1.0
2021-08-28,0.0,0.0,0.0,52.0,0.0,0.0,56.0,0.0,17.0,1.0
2021-08-29,0.0,0.0,0.0,52.0,0.0,0.0,56.0,0.0,17.0,1.0
2021-08-30,0.0,0.0,0.0,53.0,0.0,0.0,56.0,0.0,19.0,1.0
2021-08-31,0.0,0.0,0.0,53.0,0.0,0.0,52.0,0.0,18.0,1.0
2021-09-01,0.0,0.0,0.0,53.0,0.0,0.0,53.0,0.0,18.0,1.0
2021-09-02,0.0,0.0,0.0,47.0,0.0,0.0,51.0,0.0,15.0,1.0
2021-09-03,0.0,0.0,0.0,47.0,0.0,0.0,37.0,0.0,15.0,1.0
2021-09-04,0.0,0.0,0.0,48.0,0.0,0.0,34.0,0.0,15.0,1.0
2021-09-05,0.0,0.0,0.0,48.0,0.0,0.0,34.0,0.0,15.0,5.0
2021-09-06,0.0,0.0,0.0,48.0,0.0,0.0,32.0,0.0,15.0,5.0
2021-09-07,0.0,0.0,0.0,45.0,0.0,0.0,28.0,0.0,15.0,5.0
2021-09-08,0.0,0.0,0.0,31.0,0.0,0.0,29.0,0.0,15.0,5.0
2021-09-09,0.0,0.0,0.0,19.0,0.0,0.0,36.0,0.0,15.0,5.0
2021-09-10,0.0,0.0,0.0,19.0,0.0,0.0,35.0,0.0,15.0,5.0
2021-09-11,0.0,0.0,0.0,19.0,0.0,0.0,45.0,0.0,15.0,5.0
2021-09-12,0.0,0.0,0.0,19.0,0.0,0.0,71.0,0.0,16.0,5.0
2021-09-13,0.0,0.0,0.0,19.0,0.0,0.0,98.0,0.0,16.0,4.0
2021-09-14,0.0,0.0,0.0,7.0,0.0,0.0,98.0,0.0,17.0,4.0
2021-09-15,0.0,0.0,0.0,13.0,0.0,0.0,97.0,0.0,18.0,4.0
2021-09-16,0.0,0.0,0.0,13.0,0.0,0.0,116.0,0.0,16.0,4.0
2021-09-17,0.0,0.0,0.0,15.0,0.0,0.0,116.0,0.0,16.0,4.0
2021-09-18,0.0,0.0,0.0,15.0,0.0,0.0,105.0,0.0,16.0,4.0
2021-09-19,0.0,0.0,0.0,15.0,0.0,0.0,114.0,0.0,14.0,4.0
2021-09-20,0.0,0.0,0.0,13.0,0.0,0.0,115.0,0.0,11.0,4.0
2021-09-21,0.0,0.0,0.0,14.0,0.0,0.0,113.0,0.0,11.0,4.0
2021-09-22,0.0,0.0,0.0,11.0,0.0,0.0,113.0,0.0,14.0,4.0
2021-09-23,0.0,0.0,0.0,11.0,0.0,0.0,113.0,0.0,14.0,4.0
2021-09-24,0.0,0.0,0.0,11.0,0.0,0.0,113.0,0.0,22.0,4.0
2021-09-25,0.0,0.0,0.0,11.0,0.0,0.0,116.0,0.0,24.0,4.0
2021-09-26,0.0,0.0,0.0,16.0,0.0,0.0,117.0,0.0,25.0,4.0
2021-09-27,0.0,0.0,0.0,20.0,0.0,0.0,119.0,0.0,22.0,4.0
2021-09-28,0.0,0.0,0.0,20.0,0.0,0.0,119.0,0.0,22.0,4.0
2021-09-29,0.0,0.0,0.0,19.0,0.0,0.0,119.0,0.0,20.0,4.0
2021-09-30,0.0,0.0,0.0,19.0,0.0,0.0,122.0,0.0,20.0,4.0
2021-10-01,0.0,0.0,0.0,22.0,0.0,0.0,125.0,0.0,20.0,4.0
2021-10-02,0.0,0.0,0.0,22.0,0.0,0.0,125.0,0.0,21.0,4.0
2021-10-03,0.0,1.0,0.0,22.0,0.0,0.0,125.0,0.0,21.0,4.0
2021-10-04,0.0,1.0,0.0,21.0,0.0,0.0,121.0,0.0,21.0,4.0
2021-10-05,0.0,1.0,0.0,21.0,0.0,0.0,122.0,0.0,21.0,0.0
2021-10-06,0.0,1.0,0.0,28.0,0.0,0.0,125.0,0.0,21.0,0.0
2021-10-07,0.0,1.0,0.0,28.0,1.0,0.0,125.0,0.0,21.0,0.0
2021-10-08,0.0,1.0,0.0,36.0,1.0,0.0,124.0,0.0,21.0,0.0
2021-10-09,0.0,1.0,0.0,38.0,1.0,0.0,117.0,0.0,21.0,0.0
2021-10-10,0.0,1.0,0.0,38.0,1.0,0.0,117.0,0.0,21.0,0.0
2021-10-11,0.0,1.0,0.0,38.0,1.0,0.0,106.0,0.0,21.0,0.0
2021-10-12,0.0,18.0,0.0,38.0,1.0,0.0,80.0,0.0,20.0,0.0
2021-10-13,0.0,18.0,0.0,38.0,1.0,0.0,56.0,0.0,20.0,0.0
2021-10-14,0.0,18.0,0.0,38.0,1.0,0.0,56.0,0.0,21.0,0.0
2021-10-15,0.0,18.0,0.0,32.0,1.0,0.0,55.0,0.0,20.0,0.0
2021-10-16,0.0,18.0,0.0,32.0,1.0,0.0,38.0,0.0,20.0,0.0
2021-10-17,0.0,20.0,0.0,30.0,1.0,0.0,38.0,0.0,20.0,0.0
2021-10-18,0.0,20.0,0.0,30.0,1.0,0.0,43.0,0.0,20.0,0.0
2021-10-19,0.0,20.0,0.0,33.0,1.0,0.0,41.0,0.0,20.0,0.0
2021-10-20,0.0,20.0,0.0,33.0,1.0,0.0,40.0,0.0,20.0,0.0
2021-10-21,0.0,20.0,0.0,32.0,1.0,0.0,49.0,0.0,20.0,0.0
2021-10-22,0.0,20.0,0.0,32.0,1.0,0.0,48.0,0.0,17.0,0.0
2021-10-23,0.0,20.0,0.0,32.0,1.0,0.0,47.0,0.0,14.0,0.0
2021-10-24,0.0,20.0,0.0,32.0,1.0,0.0,50.0,0.0,8.0,0.0
2021-10-25,0.0,20.0,0.0,32.0,1.0,0.0,47.0,0.0,6.0,0.0
2021-10-26,0.0,20.0,0.0,27.0,1.0,0.0,47.0,0.0,5.0,0.0
2021-10-27,0.0,20.0,0.0,23.0,1.0,0.0,46.0,0.0,5.0,1.0
2021-10-28,0.0,20.0,0.0,23.0,1.0,0.0,46.0,0.0,5.0,1.0
2021-10-29,0.0,20.0,0.0,23.0,1.0,0.0,46.0,0.0,5.0,1.0
2021-10-30,0.0,20.0,0.0,25.0,1.0,0.0,44.0,0.0,5.0,1.0
2021-10-31,0.0,20.0,0.0,22.0,1.0,0.0,40.0,0.0,5.0,1.0
2021-11-01,0.0,20.0,0.0,22.0,1.0,0.0,42.0,0.0,4.0,1.0
2021-11-02,0.0,19.0,0.0,22.0,1.0,0.0,42.0,0.0,5.0,2.0
2021-11-03,0.0,19.0,0.0,22.0,1.0,0.0,42.0,0.0,10.0,2.0
2021-11-04,0.0,19.0,0.0,22.0,1.0,0.0,48.0,0.0,10.0,2.0
2021-11-05,0.0,19.0,0.0,17.0,1.0,0.0,45.0,0.0,10.0,2.0
2021-11-06,0.0,19.0,0.0,17.0,0.0,0.0,45.0,0.0,10.0,2.0
2021-11-07,0.0,19.0,0.0,9.0,0.0,0.0,45.0,0.0,11.0,4.0
2021-11-08,0.0,19.0,0.0,7.0,0.0,0.0,45.0,0.0,12.0,4.0
2021-11-09,0.0,19.0,0.0,8.0,0.0,0.0,45.0,0.0,12.0,4.0
2021-11-10,0.0,20.0,0.0,13.0,0.0,0.0,45.0,0.0,12.0,4.0
2021-11-11,0.0,3.0,0.0,13.0,0.0,0.0,46.0,0.0,12.0,4.0
2021-11-12,0.0,3.0,0.0,14.0,0.0,0.0,45.0,0.0,12.0,4.0
2021-11-13,0.0,3.0,0.0,14.0,0.0,0.0,53.0,0.0,10.0,4.0
2021-11-14,0.0,3.0,0.0,14.0,0.0,0.0,52.0,0.0,10.0,4.0
2021-11-15,0.0,3.0,0.0,14.0,0.0,0.0,52.0,0.0,11.0,4.0
2021-11-16,0.0,1.0,0.0,14.0,0.0,0.0,53.0,0.0,11.0,4.0
2021-11-17,0.0,1.0,0.0,14.0,1.0,0.0,48.0,0.0,11.0,4.0
2021-11-18,0.0,1.0,0.0,11.0,1.0,0.0,41.0,0.0,14.0,4.0
2021-11-19,0.0,1.0,0.0,11.0,1.0,0.0,41.0,0.0,16.0,4.0
2021-11-20,0.0,1.0,0.0,11.0,1.0,0.0,32.0,0.0,17.0,4.0
2021-11-21,0.0,1.0,0.0,11.0,1.0,0.0,32.0,0.0,17.0,4.0
2021-11-22,0.0,1.0,0.0,11.0,1.0,0.0,32.0,0.0,17.0,4.0
2021-11-23,0.0,1.0,0.0,11.0,1.0,0.0,29.0,0.0,16.0,4.0
2021-11-24,0.0,1.0,0.0,12.0,1.0,0.0,29.0,0.0,21.0,4.0
2021-11-25,0.0,1.0,0.0,12.0,1.0,0.0,30.0,0.0,21.0,4.0
2021-11-26,0.0,1.0,0.0,12.0,1.0,0.0,29.0,0.0,22.0,3.0
2021-11-27,0.0,1.0,0.0,12.0,1.0,0.0,29.0,0.0,22.0,3.0
2021-11-28,0.0,1.0,0.0,13.0,1.0,0.0,29.0,0.0,22.0,3.0
2021-11-29,0.0,1.0,0.0,11.0,1.0,0.0,28.0,0.0,22.0,3.0
2021-11-30,0.0,1.0,0.0,11.0,1.0,0.0,30.0,0.0,22.0,3.0
2021-12-01,0.0,1.0,0.0,11.0,1.0,0.0,29.0,0.0,22.0,3.0
